,tweet,is_sarcastic,no_stopwords,tokenized,tokenized_no_stopwords
0,i love working midnights tweet ,1,love working midnights tweet,i love working midnights tweet,love working midnights tweet
1,i hate when i buy a bag of air and there's chips in it ðÿ˜’ #not ,1,hate buy bag air there's chips ðÿ˜’ #not,i hate when i buy a bag of air and there 's chips in it ðÿ˜ ’ # not,hate buy bag air there 's chips ðÿ˜ ’ # not
2,my grandad always sounds so ill when i speak to him on the phone ,0,grandad always sounds ill speak phone,my grandad always sounds so ill when i speak to him on the phone,grandad always sounds ill speak phone
3,"i realize i'm annoying to everyone, so i won't keep spamming you, twitter, i'll speak when spoken too ",0,"realize i'm annoying everyone, keep spamming you, twitter, i'll speak spoken","i realize i 'm annoying to everyone , so i wo n't keep spamming you , twitter , i 'll speak when spoken too","realize i 'm annoying everyone , keep spamming you , twitter , i 'll speak spoken"
4,i love when i find these dudes on vine!! #followme #giveaway #xbox360  ðÿ˜‚,1,love find dudes vine!! #followme #giveaway #xbox360 ðÿ˜‚,i love when i find these dudes on vine ! ! # followme # giveaway # xbox360 ðÿ˜‚,love find dudes vine ! ! # followme # giveaway # xbox360 ðÿ˜‚
5,going to the dentist on my 21st??? how lucky...,1,going dentist 21st??? lucky...,going to the dentist on my 21st ? ? ? how lucky ...,going dentist 21st ? ? ? lucky ...
6,"i keep my house cold like a casino. once your inside, you get shit done. #fatigue #is #not #an #option ",1,"keep house cold like casino. inside, get shit done. #fatigue #is #not #an #option","i keep my house cold like a casino . once your inside , you get shit done . # fatigue # is # not # an # option","keep house cold like casino . inside , get shit done . # fatigue # is # not # an # option"
7,#bwekillertouch #fat kwisp1179 need to speak soon as i'm a mooking our honeymoon to mauritius so need some tips etc all the #bwilliant,0,#bwekillertouch #fat kwisp1179 need speak soon i'm mooking honeymoon mauritius need tips etc #bwilliant,# bwekillertouch # fat kwisp1179 need to speak soon as i 'm a mooking our honeymoon to mauritius so need some tips etc all the # bwilliant,# bwekillertouch # fat kwisp1179 need speak soon i 'm mooking honeymoon mauritius need tips etc # bwilliant
8,"ffs go away, i don't want to speak to you so stop trying to contact me on every fucking thing ",0,"ffs go away, want speak stop trying contact every fucking thing","ffs go away , i do n't want to speak to you so stop trying to contact me on every fucking thing","ffs go away , want speak stop trying contact every fucking thing"
9,i just love going on a long run and then coming home to spaghetti ðÿ˜’ #not #fuckcarbs ,1,love going long run coming home spaghetti ðÿ˜’ #not #fuckcarbs,i just love going on a long run and then coming home to spaghetti ðÿ˜ ’ # not # fuckcarbs,love going long run coming home spaghetti ðÿ˜ ’ # not # fuckcarbs
10,thanks...twas lovely to see you guys too! so pleased you like the pouches. speak soon ,0,thanks...twas lovely see guys too! pleased like pouches. speak soon,thanks ... twas lovely to see you guys too ! so pleased you like the pouches . speak soon,thanks ... twas lovely see guys too ! pleased like pouches . speak soon
